Gene,T-stat,p-value,p-adj,-log10(p),-log10(p-adj),log2FC,Gene_clean,query,symbol
ENSG00000258877.2,-1.2987173159185437,0.2069115420204562,,0.6842152826741246,,-0.362570079384708,ENSG00000258877,ENSG00000258877,ATP5F1AP4
ENSG00000251025.1,-1.2987173159185437,0.2069115420204562,,0.6842152826741246,,-0.1926450779423958,ENSG00000251025,ENSG00000251025,NDUFB5P1
ENSG00000259547.1,-1.2987173159185437,0.2069115420204562,,0.6842152826741246,,-0.1926450779423958,ENSG00000259547,ENSG00000259547,CYCSP2
ENSG00000268747.1,-1.2987173159185437,0.2069115420204562,,0.6842152826741246,,-0.1926450779423958,ENSG00000268747,ENSG00000268747,COX16P1
ENSG00000232362.1,-1.2952888928675947,0.2080714927593712,,0.6817874170751124,,-0.8291560606828052,ENSG00000232362,ENSG00000232362,ATP5MGP2
ENSG00000254601.1,-1.294534276766064,0.2083274785199474,,0.681253442570191,,-0.3881445052255651,ENSG00000254601,ENSG00000254601,CYCSP26
ENSG00000267855.5,-1.294534276766064,0.2083274785199474,,0.681253442570191,,-0.3881445052255651,ENSG00000267855,ENSG00000267855,NDUFA7
ENSG00000231884.1,-1.2887318129266234,0.2103039650410348,,0.6771525391101187,,-0.7189890098257472,ENSG00000231884,ENSG00000231884,NDUFB1P1
ENSG00000163626.16,-1.2856295598811114,0.2113666011526401,,0.6749636361442036,,-0.6095589642295165,ENSG00000163626,ENSG00000163626,COX18
ENSG00000213954.3,-1.2789492141701904,0.2136689113288472,,0.6702586627705258,,-0.6361555699665133,ENSG00000213954,ENSG00000213954,ATP5PDP3
ENSG00000219627.1,-1.2725720815579893,0.2158846738497566,,0.6657781881369991,,-0.3550880181521001,ENSG00000219627,ENSG00000219627,CYCSP17
ENSG00000230671.2,-1.257543715796473,0.2211760607044072,,0.6552618812850928,,-0.6682763581873229,ENSG00000230671,ENSG00000230671,NDUFS5P5
ENSG00000235141.1,-1.2572252189369348,0.2212892648291012,,0.6550396540283164,,-0.3761256375162308,ENSG00000235141,ENSG00000235141,COX6CP17
ENSG00000226114.1,-1.244990072709908,0.2256716173777274,,0.6465230585179245,,-0.6927687404564211,ENSG00000226114,ENSG00000226114,NDUFB4P5
ENSG00000228834.1,1.2311190123840527,0.2307194599634839,,0.6369157734965242,,0.7853457730740836,ENSG00000228834,ENSG00000228834,ATP5MFP2
